#             |P|               []
   1.11016979e-02   5.97202000e-01
   1.64170830e-02   5.97162000e-01
   1.21880684e-02   5.97487000e-01
   5.29068772e-03   5.96997000e-01
   1.32427767e-02   5.96289000e-01
   8.96310102e-03   5.97414000e-01
   1.06072844e-02   5.96873000e-01
   2.75404049e-03   5.97047000e-01
   2.55757027e-02   5.97217000e-01
   4.64501738e-03   5.96840000e-01
   7.38991568e-03   5.97342000e-01
   1.14241334e-02   5.96680000e-01
   1.99335612e-02   5.96889000e-01
   1.12759401e-02   5.97322000e-01
   2.11889832e-03   5.97215000e-01
   5.42496666e-03   5.96769000e-01
   1.39019419e-02   5.96833000e-01
   1.05425842e-02   5.97154000e-01
   8.71469250e-03   5.96675000e-01
   2.13615649e-02   5.97063000e-01
   1.56342290e-03   5.96822000e-01
   5.99161588e-03   5.96429000e-01
   2.85422935e-02   5.97387000e-01
   1.46986617e-02   5.96797000e-01
   1.20201534e-02   5.96631000e-01
   6.34507818e-03   5.96709000e-01
   2.68962298e-02   5.96832000e-01
   1.34848800e-02   5.96331000e-01
   2.09224296e-02   5.96841000e-01
   6.46342154e-03   5.96333000e-01
   3.02966311e-03   5.96716000e-01
   6.99214514e-03   5.96751000e-01
   8.52669799e-03   5.96867000e-01
   1.29854590e-02   5.97286000e-01
   6.78844384e-03   5.96946000e-01
   1.27723522e-03   5.96944000e-01
   1.73728165e-02   5.96504000e-01
   6.69379005e-03   5.97042000e-01
   1.17730781e-02   5.97257000e-01
   6.11774485e-03   5.97570000e-01
   1.36066999e-02   5.96708000e-01
   3.99779344e-03   5.97167000e-01
   7.20700255e-03   5.97317000e-01
   4.32296434e-03   5.96692000e-01
   1.13041198e-02   5.96681000e-01
   2.55235690e-02   5.97389000e-01
   1.12160036e-02   5.96638000e-01
   1.84199442e-02   5.98215000e-01
   3.30844391e-03   5.96805000e-01
   1.82587111e-02   5.97522000e-01
   1.89918678e-02   5.96690000e-01
   3.26346752e-03   5.96422000e-01
   1.79684751e-02   5.96870000e-01
   1.23397991e-02   5.97136000e-01
   8.39728009e-03   5.96912000e-01
   2.88622161e-02   5.96709000e-01
   6.59797127e-03   5.97193000e-01
   1.13498556e-02   5.96746000e-01
   1.05202065e-02   5.96781000e-01
   8.30040449e-03   5.97171000e-01
   2.14858379e-02   5.96983000e-01
   1.25851084e-02   5.96698000e-01
   1.27695284e-02   5.97223000e-01
   1.82342379e-02   5.97371000e-01
   8.13071718e-03   5.96033000e-01
   5.11444081e-03   5.97134000e-01
   1.04219425e-02   5.97747000e-01
   6.77249528e-03   5.97134000e-01
   1.87920298e-02   5.97648000e-01
   7.35112307e-03   5.97114000e-01
   1.16835818e-02   5.96175000e-01
   1.58273676e-02   5.97667000e-01
   9.27602013e-03   5.97795000e-01
   2.27938198e-03   5.97539000e-01
   3.13547669e-02   5.97506000e-01
   5.26653883e-03   5.96551000e-01
   4.79906852e-03   5.96518000e-01
   2.35981297e-03   5.96721000e-01
   1.57740820e-02   5.97138000e-01
   8.38959918e-03   5.96769000e-01
   6.79559808e-03   5.96937000e-01
   1.58928587e-02   5.96433000e-01
   3.91624189e-03   5.96877000e-01
   9.73138315e-03   5.96735000e-01
   7.42925230e-03   5.96822000e-01
   1.69121617e-02   5.97890000e-01
   1.55455807e-02   5.97150000e-01
   2.54665911e-03   5.97250000e-01
   3.42672415e-03   5.96315000e-01
   6.67835154e-03   5.96546000e-01
   1.01755931e-02   5.97191000e-01
   7.97687597e-03   5.96540000e-01
   8.94254937e-03   5.96944000e-01
   6.38005336e-03   5.96691000e-01
   2.23409221e-02   5.97167000e-01
   1.09993753e-02   5.97003000e-01
   2.81561452e-03   5.96886000e-01
   5.89889529e-03   5.96326000e-01
   8.28292176e-03   5.97339000e-01
   7.35245039e-03   5.96782000e-01
   9.26747946e-03   5.97384000e-01
   3.00942020e-03   5.96534000e-01
   1.49451685e-02   5.96771000e-01
   6.94558868e-03   5.96818000e-01
   1.31114960e-02   5.96540000e-01
   7.34070869e-03   5.96473000e-01
   2.73062944e-02   5.97044000e-01
   1.02399366e-02   5.96705000e-01
   4.10524601e-03   5.96009000e-01
   1.54320903e-02   5.96996000e-01
   3.76643976e-03   5.96334000e-01
   7.83670044e-03   5.97059000e-01
   2.04214974e-02   5.97147000e-01
   2.32503926e-03   5.96379000e-01
   2.94464329e-03   5.96987000e-01
   1.35889025e-02   5.96902000e-01
   5.97604410e-03   5.96427000e-01
   3.57969730e-03   5.97169000e-01
   3.84908580e-03   5.97053000e-01
   2.37835007e-03   5.97295000e-01
   7.49074092e-03   5.96687000e-01
   1.37440681e-02   5.97107000e-01
   1.08271390e-02   5.96392000e-01
   1.54570853e-02   5.97261000e-01
   2.60293117e-02   5.96942000e-01
   2.08207804e-03   5.96721000e-01
   7.21797488e-03   5.97423000e-01
   2.13274349e-02   5.96875000e-01
   6.81827726e-03   5.96636000e-01
   1.08137742e-02   5.96951000e-01
   9.28272122e-03   5.97241000e-01
   1.74122409e-02   5.96812000e-01
   1.07778022e-02   5.97399000e-01
   8.01306300e-03   5.96285000e-01
   1.70711393e-02   5.96406000e-01
   1.52500950e-02   5.96224000e-01
   1.06626967e-02   5.96643000e-01
   7.02079412e-03   5.97003000e-01
   6.11874142e-03   5.96757000e-01
   7.55250638e-03   5.97014000e-01
   1.27442597e-02   5.96925000e-01
   3.69827120e-04   5.96624000e-01
   4.83544650e-03   5.96963000e-01
   1.01625069e-02   5.97446000e-01
   1.10876270e-02   5.96688000e-01
   1.69976103e-02   5.97581000e-01
   1.27383093e-02   5.97205000e-01
   2.38209497e-02   5.96543000e-01
   1.68974880e-02   5.96891000e-01
   2.96516308e-02   5.97259000e-01
   2.20491991e-02   5.96668000e-01
   8.99275989e-03   5.96646000e-01
   3.85098892e-03   5.97326000e-01
   1.78236458e-02   5.96866000e-01
   1.53574043e-02   5.96600000e-01
   1.14382683e-02   5.97960000e-01
   7.62358222e-03   5.98157000e-01
   2.79139354e-02   5.96518000e-01
   1.37211305e-02   5.97067000e-01
   7.50096944e-03   5.97086000e-01
   1.03976372e-02   5.96230000e-01
   1.35213555e-02   5.96543000e-01
   3.11320767e-03   5.96403000e-01
   8.89041300e-03   5.96691000e-01
   6.79860628e-03   5.96461000e-01
   1.21097352e-02   5.95970000e-01
   2.95579004e-03   5.97022000e-01
   2.98207181e-02   5.96932000e-01
   1.30170535e-02   5.96685000e-01
   1.68625113e-02   5.95912000e-01
   8.56224805e-03   5.97290000e-01
   6.20868416e-03   5.96836000e-01
   1.31666091e-02   5.97166000e-01
   3.83249347e-03   5.97215000e-01
   1.01215610e-02   5.97262000e-01
   1.64003780e-02   5.97342000e-01
   1.59946628e-02   5.96732000e-01
   2.00029378e-02   5.96587000e-01
   8.42573146e-03   5.96592000e-01
   9.15560685e-03   5.97116000e-01
   1.63209664e-02   5.97526000e-01
   1.81381279e-02   5.97131000e-01
   1.39889016e-02   5.96934000e-01
   1.18398175e-02   5.96783000e-01
   1.93261095e-02   5.97376000e-01
   4.03760940e-03   5.96339000e-01
   1.28463448e-02   5.96890000e-01
   1.11983710e-02   5.96732000e-01
   9.62121248e-03   5.96586000e-01
   2.99426798e-02   5.97117000e-01
   2.46920253e-02   5.97455000e-01
   9.25240228e-03   5.97063000e-01
   2.65422845e-03   5.97291000e-01
   2.05155929e-03   5.96461000e-01
   4.10668318e-03   5.97191000e-01
   4.73563844e-04   5.96792000e-01
   1.61437309e-02   5.97271000e-01
   9.73698787e-03   5.97020000e-01
   1.18262692e-03   5.97132000e-01
   5.45535590e-03   5.97219000e-01
   6.44296955e-03   5.96837000e-01
   1.66670821e-02   5.96695000e-01
   3.04964603e-03   5.96445000e-01
   1.70264839e-02   5.97443000e-01
   1.37601330e-02   5.96699000e-01
   1.07025880e-02   5.96738000e-01
   2.10285045e-03   5.97274000e-01
   9.42484789e-03   5.97594000e-01
   1.71937407e-02   5.98014000e-01
   2.54912204e-02   5.97025000e-01
   3.35704455e-03   5.96445000e-01
   1.25032791e-02   5.96598000e-01
   1.05412565e-02   5.97085000e-01
   1.51052337e-02   5.97283000e-01
   1.01402110e-02   5.96910000e-01
   9.94934245e-03   5.97625000e-01
   2.76343329e-03   5.96737000e-01
   1.38232367e-03   5.96964000e-01
   9.29136765e-03   5.96798000e-01
   9.41027183e-03   5.97078000e-01
   2.35608585e-02   5.96597000e-01
   2.23356158e-03   5.97899000e-01
   3.93311500e-03   5.96997000e-01
   1.06849708e-02   5.96467000e-01
   1.33888875e-02   5.96963000e-01
   4.58052605e-03   5.96796000e-01
   1.51699100e-02   5.97513000e-01
   9.66918067e-03   5.97057000e-01
