#          |P|               []
   5.00727868e-03   6.44295000e-01
   5.21484482e-03   6.44299000e-01
   2.22131300e-03   6.44336000e-01
   6.91125037e-03   6.44436000e-01
   5.00988415e-03   6.44558000e-01
   4.94734528e-03   6.44367000e-01
   3.99585468e-03   6.44431000e-01
   4.70815109e-03   6.44291000e-01
   4.62348518e-03   6.44445000e-01
   3.54666955e-03   6.44188000e-01
   5.52208318e-03   6.44122000e-01
   2.70528093e-03   6.44306000e-01
   4.91406407e-03   6.44441000e-01
   4.07337322e-03   6.44337000e-01
   6.31813336e-03   6.44436000e-01
   5.05325134e-03   6.44363000e-01
   5.62574639e-03   6.44274000e-01
   5.26791375e-03   6.44213000e-01
   2.14227315e-03   6.44230000e-01
   3.70330954e-03   6.44288000e-01
   4.05896594e-03   6.44265000e-01
   6.09227933e-03   6.44365000e-01
   4.07201640e-03   6.44376000e-01
   5.06659499e-03   6.44441000e-01
   6.39003879e-03   6.44443000e-01
   3.75413275e-03   6.44385000e-01
   4.96225151e-03   6.44256000e-01
   5.61542721e-03   6.44430000e-01
   4.84057915e-03   6.44323000e-01
   5.02279371e-03   6.44285000e-01
   4.88241998e-03   6.44469000e-01
   4.18263790e-03   6.44401000e-01
   4.50850624e-03   6.44282000e-01
   4.02189477e-03   6.44282000e-01
   5.39027061e-03   6.44345000e-01
   5.30474057e-03   6.44312000e-01
   4.82582971e-03   6.44250000e-01
   6.05031675e-03   6.44273000e-01
   4.02868134e-03   6.44162000e-01
   3.11648618e-03   6.44205000e-01
   5.87606233e-03   6.44354000e-01
   5.28628996e-03   6.44280000e-01
   4.22216783e-03   6.44268000e-01
   3.57952475e-03   6.44140000e-01
   4.09478890e-03   6.44223000e-01
   3.68378475e-03   6.44265000e-01
   4.41169661e-03   6.44352000e-01
   4.62997040e-03   6.44361000e-01
   1.49887169e-03   6.44142000e-01
   1.97191144e-03   6.44343000e-01
   2.33292816e-03   6.44346000e-01
   1.99637171e-03   6.44314000e-01
   1.81679712e-03   6.44218000e-01
   1.35714386e-03   6.44355000e-01
   1.29334135e-03   6.44161000e-01
   3.27761130e-03   6.44297000e-01
   4.39868542e-03   6.44417000e-01
   4.39377944e-03   6.44228000e-01
   3.99714765e-03   6.44280000e-01
   4.84261548e-03   6.44419000e-01
   3.25560840e-03   6.44332000e-01
   3.12498490e-03   6.44312000e-01
   2.95143599e-03   6.44401000e-01
   4.27610610e-03   6.44287000e-01
   4.80810607e-03   6.44236000e-01
   4.51926612e-03   6.44379000e-01
   5.93790878e-03   6.44291000e-01
   5.66314812e-03   6.44188000e-01
   6.67694093e-03   6.44337000e-01
   5.55728911e-03   6.44273000e-01
   4.18524527e-03   6.44475000e-01
   3.49226252e-03   6.44236000e-01
   2.42052721e-03   6.44229000e-01
   5.64021316e-03   6.44251000e-01
   4.98796079e-03   6.44342000e-01
   3.11336604e-03   6.44381000e-01
   3.06679192e-03   6.44408000e-01
   3.39183389e-03   6.44381000e-01
   5.71004650e-03   6.44330000e-01
   6.00416826e-03   6.44289000e-01
   4.08911961e-03   6.44420000e-01
   3.04548945e-03   6.44349000e-01
   5.45661380e-03   6.44294000e-01
   5.82757534e-03   6.44399000e-01
   5.02539695e-03   6.44296000e-01
   7.04081017e-03   6.44459000e-01
   5.26720375e-03   6.44291000e-01
   6.07877383e-03   6.44319000e-01
   2.97143169e-03   6.44337000e-01
   5.55535474e-03   6.44291000e-01
   5.33852627e-03   6.44391000e-01
   6.21346901e-03   6.44053000e-01
   3.99936949e-03   6.44322000e-01
   4.72086439e-03   6.44398000e-01
   4.50028589e-03   6.44252000e-01
   4.96804147e-03   6.44359000e-01
   3.85423059e-03   6.44246000e-01
   5.94572384e-03   6.44269000e-01
   3.89968951e-03   6.44346000e-01
   3.47231366e-03   6.44311000e-01
   6.59357301e-03   6.44233000e-01
   5.10233057e-03   6.44421000e-01
   4.36667186e-03   6.44342000e-01
   5.13705553e-03   6.44328000e-01
   2.75141712e-03   6.44277000e-01
   1.86303770e-03   6.44262000e-01
   3.06371883e-03   6.44442000e-01
   5.23038486e-03   6.44418000e-01
   5.41436716e-03   6.44265000e-01
   4.82895490e-03   6.44325000e-01
   4.72048591e-03   6.44312000e-01
   5.01329417e-03   6.44328000e-01
   5.45401939e-03   6.44281000e-01
   6.38059980e-03   6.44317000e-01
   4.88257237e-03   6.44230000e-01
   4.32281282e-03   6.44353000e-01
   3.07773955e-03   6.44210000e-01
   8.04660092e-04   6.44491000e-01
   1.91033403e-03   6.44303000e-01
   5.57892965e-03   6.44266000e-01
   4.96351271e-03   6.44253000e-01
   6.09555974e-03   6.44243000e-01
   6.59103895e-03   6.44210000e-01
   5.71986665e-03   6.44342000e-01
   4.72127881e-03   6.44285000e-01
   5.58899484e-03   6.44271000e-01
   5.81698289e-03   6.44404000e-01
   5.51811526e-03   6.44342000e-01
   5.08125102e-03   6.44251000e-01
   6.28645671e-03   6.44297000e-01
   4.53511553e-03   6.44298000e-01
   4.28863208e-03   6.44357000e-01
   4.87761103e-03   6.44294000e-01
   6.48841364e-03   6.44254000e-01
   4.10965662e-03   6.44263000e-01
   5.34956365e-03   6.44317000e-01
   4.70707835e-03   6.44250000e-01
   6.27355114e-03   6.44457000e-01
   5.64884284e-03   6.44254000e-01
   4.76751392e-03   6.44216000e-01
   4.12897290e-03   6.44204000e-01
   3.28611933e-03   6.44364000e-01
   3.69191474e-03   6.44372000e-01
   4.66910130e-03   6.44356000e-01
   4.88969717e-03   6.44380000e-01
   4.54287825e-03   6.44294000e-01
   6.23810748e-03   6.44174000e-01
   5.22048590e-03   6.44458000e-01
   5.74408739e-03   6.44244000e-01
   5.57236372e-03   6.44319000e-01
   3.92316049e-03   6.44299000e-01
   5.60293791e-03   6.44426000e-01
   3.85216995e-03   6.44476000e-01
   6.12775049e-03   6.44410000e-01
   4.94374844e-03   6.44235000e-01
   2.96710291e-03   6.44213000e-01
   6.07045205e-03   6.44412000e-01
   5.34098118e-03   6.44432000e-01
   6.12173887e-03   6.44278000e-01
   4.80547599e-03   6.44388000e-01
   3.40919070e-03   6.44237000e-01
   5.10153901e-03   6.44323000e-01
   3.78094152e-03   6.44246000e-01
   6.82681030e-03   6.44408000e-01
   2.48726096e-03   6.44312000e-01
   5.29598967e-03   6.44339000e-01
   4.43585603e-03   6.44315000e-01
   2.38177462e-03   6.44300000e-01
